UniProt ID,No. of Valid Modified Peptides,No. of Significant Modified Peptides (P-value),No. of Significant Modified Peptides (Adj. P-value),No. of Valid Peptides,No. of Significant Peptides (P-value),No. of Significant Peptides (Adj. P-value),No. of Valid Cut Sites,No. of Significant Cut Sites (P-value),No. of Significant Cut Sites (Adj. P-value),Retained,Perturbed,S/T Avg,P-Value
P37263,2,2,2,2,2,2,2,2,2,FALSE,TRUE,0.151602622,1.02E-06
Q03964,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.187013852,0.000456786
P01098,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.447625332,0.000807367
O94742,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.313772256,0.001274892
Q6Q560,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.200222936,2.35E-06
Q86ZR7,6,0,0,6,0,0,6,0,0,TRUE,FALSE,0.477695019,1.90E-05
Q3E764,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.220500798,0.001667232
O14467,7,5,5,7,1,2,7,5,5,FALSE,TRUE,0.156968308,0.000530553
P57744,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.476933109,0.002838627
P0C2I9,3,1,2,3,1,2,3,1,2,FALSE,TRUE,0.239164773,0.036506777
P0C2J1,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.239164773,0.036506777
P0C2I8,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.239164773,0.036506777
P0C2J3,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.210520139,0.016115566
O74302,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.388590037,0.005850287
P0C2I3,3,1,3,3,1,3,3,1,3,FALSE,TRUE,0.269836214,0.000704454
Q99231,53,31,39,52,30,38,48,29,36,FALSE,TRUE,0.076439167,0.012944826
Q6Q547,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.129843392,0.000899467
P69850,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.259494175,1.44E-05
Q3E705,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.229363538,0.000270221
Q3E752,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.119080682,0.00020908
Q3E7Z5,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.379517669,0.000403724
P03872,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.229276618,2.02E-06
Q8J0M4,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.477695019,1.90E-05
