UniProt ID,No. of Valid Modified Peptides,No. of Significant Modified Peptides (P-value),No. of Significant Modified Peptides (Adj. P-value),No. of Valid Peptides,No. of Significant Peptides (P-value),No. of Significant Peptides (Adj. P-value),No. of Valid Cut Sites,No. of Significant Cut Sites (P-value),No. of Significant Cut Sites (Adj. P-value),Retained,Perturbed,S/T Avg,P-Value
Q05515,14,1,1,14,1,1,10,0,0,TRUE,FALSE,0.514289992,9.29E-05
P10662,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.232118018,0.000677038
P29509,42,5,2,42,7,3,37,3,1,FALSE,TRUE,0.482660859,2.07E-05
P07285,3,1,1,3,1,1,3,1,1,TRUE,FALSE,0.386183036,0.001825262
Q06338,9,0,0,9,0,0,7,0,0,TRUE,FALSE,0.357707106,8.53E-05
Q06344,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.213962149,0.000970884
Q12458,19,1,0,19,1,0,17,1,0,TRUE,FALSE,0.476909161,0.000918012
Q06385,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.206989547,3.50E-05
P48360,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.237115323,2.32E-05
Q06406,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.309835973,1.33E-05
Q06408,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.337419682,0.000260807
Q12159,9,5,6,9,5,7,9,5,6,FALSE,TRUE,0.140882773,0.002245183
P02400,22,0,0,22,0,0,18,0,0,TRUE,FALSE,0.356431645,0.023889695
P32324,234,6,0,217,8,0,198,6,0,TRUE,FALSE,0.317405879,0.000101089
P39743,10,3,3,10,3,3,10,3,3,FALSE,TRUE,0.268636412,0.002962746
P52488,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.380343484,0.000723929
Q04170,4,1,2,4,1,2,4,1,2,FALSE,TRUE,0.5770503,0.007783553
P33298,9,1,1,9,1,1,9,1,1,TRUE,FALSE,0.334072204,2.85E-05
Q04175,15,1,0,15,1,0,15,1,0,TRUE,FALSE,0.409841151,0.000377433
Q92317,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.411385746,0.001272086
Q04178,12,1,1,12,1,1,12,1,1,TRUE,FALSE,0.634460648,0.000270986
Q04179,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.520502597,0.002947923
P34087,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.352278813,0.001039657
Q04183,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.175058885,0.001039331
P04161,4,0,2,4,0,2,4,0,2,FALSE,TRUE,0.485713864,0.00047545
Q04062,14,0,0,14,0,0,12,0,0,TRUE,FALSE,0.358417625,0.000110843
Q04066,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.619367483,0.023149282
Q04067,15,0,0,13,0,0,13,0,0,TRUE,FALSE,0.271565487,0.00197745
P32898,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.375704844,3.14E-05
Q01560,18,1,1,17,0,0,17,1,1,TRUE,FALSE,0.311320014,0.000758546
Q02354,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.13572375,0.002634152
P0CX55,22,1,1,22,4,5,21,1,1,FALSE,TRUE,0.214796185,0.01065301
Q04119,3,1,1,3,1,1,3,1,1,TRUE,FALSE,0.142317376,0.004820112
P15454,21,0,0,20,0,0,17,0,0,TRUE,FALSE,0.479379463,0.00046211
Q03280,4,1,1,4,1,1,4,1,1,TRUE,FALSE,0.528566382,0.000816682
Q03305,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.2271044,7.65E-06
P06782,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.32117577,3.26E-05
P11491,3,1,1,3,1,1,3,1,1,TRUE,FALSE,0.234859865,0.000594028
P27809,3,1,1,3,1,1,3,1,1,TRUE,FALSE,0.083820363,0.003937849
P39904,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.228385223,0.008684884
Q99258,20,3,3,20,3,3,18,3,3,FALSE,TRUE,0.788352727,0.018629593
Q04373,6,3,4,6,2,3,6,3,4,FALSE,TRUE,0.191294894,0.001427367
P19358,18,1,0,16,1,0,14,1,0,TRUE,FALSE,0.467083042,0.006684098
Q12306,7,0,0,7,0,0,7,0,0,TRUE,FALSE,0.589554085,0.000369601
P17695,8,5,6,8,5,6,8,5,6,FALSE,TRUE,0.561917357,1.93E-05
Q04409,10,1,1,10,1,1,10,1,1,TRUE,FALSE,0.469401015,0.000614098
Q04410,5,1,2,5,1,2,5,1,2,FALSE,TRUE,0.265881504,9.22E-05
P32474,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.296199672,0.000428412
P32472,8,2,3,8,2,3,8,2,3,FALSE,TRUE,0.57106234,0.002979377
Q04430,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.422718664,0.005111575
Q04432,7,0,0,7,0,0,7,0,0,TRUE,FALSE,0.454914941,0.000514444
P89886,7,0,0,7,0,0,4,0,0,TRUE,FALSE,0.344140538,0.000104298
P43603,4,1,2,4,1,2,4,1,2,FALSE,TRUE,0.168410153,9.88E-05
P05030,49,26,39,48,23,36,43,26,37,FALSE,TRUE,0.015085902,8.83E-06
P07264,82,3,0,82,4,0,72,2,0,TRUE,FALSE,0.412313777,0.00036352
P21243,10,0,0,10,0,0,9,0,0,TRUE,FALSE,0.4366917,0.001363578
P25339,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.150748251,6.55E-05
P32767,5,0,0,5,0,0,3,0,0,TRUE,FALSE,0.413707751,4.60E-05
P00931,76,2,1,76,5,2,68,2,1,FALSE,TRUE,0.440253542,0.000297997
P53008,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.324061934,0.000288557
P14120,24,0,0,23,0,0,23,0,0,TRUE,FALSE,0.252376547,0.002034311
P04449,5,2,2,5,2,2,5,2,2,FALSE,TRUE,0.225266059,0.001463718
P53184,16,0,0,16,0,0,12,0,0,TRUE,FALSE,0.478005061,0.011432152
P53183,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.341565171,9.61E-05
P05373,13,1,0,13,1,0,13,1,0,TRUE,FALSE,0.477275888,0.000232981
P07273,3,0,0,3,1,2,3,0,0,FALSE,TRUE,0.245606661,0.000101252
Q01939,8,0,0,8,0,0,8,0,0,TRUE,FALSE,0.304296963,3.91E-05
P39936,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.164045654,0.000113058
P53177,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.402932324,2.04E-05
P53173,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.109369905,0.050909424
P21147,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.041227441,0.000716001
P53172,6,0,0,6,0,0,6,0,0,TRUE,FALSE,0.409946799,0.001713493
P06104,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.404834982,0.012220219
P53168,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.267709532,0.000435857
P11154,5,0,0,5,0,0,3,0,0,TRUE,FALSE,0.388540553,0.000386558
P53164,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.336410244,0.001885316
P53163,5,0,0,5,0,0,5,0,0,TRUE,FALSE,0.291843888,0.006886078
P27999,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.382088751,0.000905096
P05737,49,1,1,49,1,1,38,1,1,TRUE,FALSE,0.280527279,0.001361147
P20447,9,3,4,9,3,4,9,3,4,FALSE,TRUE,0.126496517,0.00012977
P53152,4,0,0,4,0,0,3,0,0,TRUE,FALSE,0.395107465,0.013371903
P38932,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.160036289,2.38E-06
P21827,6,1,1,6,1,1,6,1,1,TRUE,FALSE,0.299760352,0.000118857
P53145,13,3,7,13,5,9,11,3,6,FALSE,TRUE,0.222793359,9.49E-05
P53011,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.106397163,0.000513198
P53144,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.367467469,1.45E-05
P02406,24,0,3,22,4,10,20,1,2,FALSE,TRUE,0.275777694,0.003076065
P46672,38,1,0,37,1,0,34,1,0,TRUE,FALSE,0.389833937,3.28E-05
P53141,15,1,0,15,1,0,14,0,0,TRUE,FALSE,0.469210125,0.000810416
P53136,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.202838606,1.24E-05
P53040,4,3,3,4,3,3,4,3,3,FALSE,TRUE,0.177463122,0.000353897
P12904,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.424920975,0.000597817
P53131,12,4,6,12,4,6,12,4,6,FALSE,TRUE,0.180608172,7.71E-05
P32505,3,1,1,3,2,2,3,1,1,FALSE,TRUE,0.223287122,5.45E-05
P25443,56,7,3,53,6,4,38,5,3,FALSE,TRUE,0.180513189,0.003052187
P53128,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.378854937,6.77E-05
Q01159,7,0,0,7,0,0,5,0,0,TRUE,FALSE,0.35267613,0.000378719
P41811,36,0,0,36,0,0,31,0,0,TRUE,FALSE,0.265298791,3.33E-06
P05738,43,2,1,42,2,1,30,2,1,TRUE,FALSE,0.20860008,0.001554535
P28777,28,2,1,28,2,1,25,2,1,TRUE,FALSE,0.591592862,0.000102314
P53111,10,0,0,10,0,0,10,0,0,TRUE,FALSE,0.397920479,0.002203615
P53110,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.715410531,0.041527996
P53108,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.151150091,0.013917005
P13586,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.098325465,0.004821119
P45818,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.167019382,0.000138969
P22147,25,12,19,25,6,11,24,13,18,FALSE,TRUE,0.174985092,1.76E-06
P04037,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.375574888,6.98E-05
P39938,12,0,0,12,1,1,12,0,0,TRUE,FALSE,0.281956049,0.000962797
Q00362,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.326693586,0.000268723
P33892,86,12,13,86,12,13,83,12,13,FALSE,TRUE,0.258633483,0.000257337
P53095,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.465602902,0.001798073
P53094,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.210173287,0.001021742
P53093,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.136642802,0.002493765
P32803,3,1,1,3,1,1,3,1,1,TRUE,FALSE,0.108670461,0.015276611
P53090,54,1,0,52,1,0,46,0,0,TRUE,FALSE,0.353384706,2.32E-05
P22137,68,1,1,68,1,1,65,1,1,TRUE,FALSE,0.331471181,5.48E-05
P32558,20,1,1,20,1,1,20,1,1,TRUE,FALSE,0.269714666,7.78E-05
P32912,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.32119911,0.00024974
Q02793,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.320760525,0.000916261
P53082,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.39816202,0.015727532
P53081,11,0,0,11,0,0,10,0,0,TRUE,FALSE,0.458731537,3.49E-05
P53078,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.322800455,5.96E-05
P53072,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.240379793,0.000165041
P07244,58,1,0,58,1,0,50,1,0,TRUE,FALSE,0.468315788,0.000199644
P33307,8,1,1,8,1,1,8,1,1,TRUE,FALSE,0.406145661,0.000184062
P53067,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.407150785,0.002484166
P53066,7,1,1,7,1,1,7,1,1,TRUE,FALSE,0.547250378,7.61E-05
P53064,5,0,1,5,0,1,5,0,1,TRUE,FALSE,0.286151647,0.000270264
P46655,91,4,0,89,5,0,77,3,0,TRUE,FALSE,0.376303006,3.53E-05
P53063,4,1,1,4,1,1,4,1,1,TRUE,FALSE,0.243576819,0.000732964
P32608,6,2,2,6,2,2,6,2,2,FALSE,TRUE,0.305981839,0.000228365
P04807,86,0,0,84,0,0,65,0,0,TRUE,FALSE,0.387470853,0.000380834
P53200,7,2,2,7,2,2,7,2,2,FALSE,TRUE,0.321521179,0.000297276
P41896,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.323622133,0.000229983
P33412,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.424703219,0.002346368
P53210,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.558079836,0.002068642
P17649,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.375510635,0.000987625
P39111,8,0,0,8,0,0,8,0,0,TRUE,FALSE,0.423897185,0.004573376
P27882,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.256827897,0.000712706
P53221,25,1,0,25,1,0,20,1,0,TRUE,FALSE,0.299953686,0.003625105
P31787,14,3,3,14,3,3,12,2,2,FALSE,TRUE,0.943114967,0.660810047
P53044,2,0,1,2,0,1,2,0,1,TRUE,FALSE,0.375167259,0.00024159
P53235,16,0,0,16,0,0,15,0,0,TRUE,FALSE,0.229998475,0.000394282
P38972,75,5,3,75,5,3,67,5,2,FALSE,TRUE,0.388963276,0.000144027
P32914,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.253261917,0.001785979
Q02260,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.204454019,7.38E-05
P53248,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.237511982,0
P48363,8,0,0,8,0,0,8,0,0,TRUE,FALSE,0.465283543,0.000308617
P53250,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.315139827,0.001399233
P12754,7,1,0,7,1,0,6,1,0,TRUE,FALSE,0.270356413,2.06E-05
P53252,11,4,6,11,7,10,11,4,6,FALSE,TRUE,0.197954873,0.000199162
P53254,5,1,2,5,1,2,5,1,2,FALSE,TRUE,0.155047249,0.000532863
P07806,77,0,0,77,3,0,72,0,0,TRUE,FALSE,0.439065769,0.000248062
P53256,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.279715049,4.69E-05
P48361,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.138687113,0.000412927
P53258,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.237153615,0.000299577
P53261,8,3,3,8,3,3,8,3,3,FALSE,TRUE,0.231270647,0.000529607
P23615,22,1,1,22,1,1,22,1,1,TRUE,FALSE,0.350139418,2.70E-05
P0CX29,13,0,0,13,0,0,9,0,0,TRUE,FALSE,0.214796185,0.01065301
P53043,10,1,0,10,1,0,10,1,0,TRUE,FALSE,0.381856227,0.000203066
P49090,67,2,0,67,2,0,60,3,0,TRUE,FALSE,0.423228974,0.000572263
P53276,3,2,2,3,2,2,3,2,2,FALSE,TRUE,0.116762799,0.003634497
P53278,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.242716896,1.99E-06
P23638,10,1,1,10,1,1,9,1,0,TRUE,FALSE,0.404834215,3.16E-05
P53281,4,2,3,4,2,3,4,2,3,FALSE,TRUE,0.496526979,0.001489673
P48234,5,1,2,5,1,2,5,1,2,FALSE,TRUE,0.211236838,0.000905103
P24000,4,0,0,3,0,0,3,0,0,TRUE,FALSE,0.289222965,0.000284528
P32582,76,6,0,76,10,0,64,6,0,TRUE,FALSE,0.448443683,1.92E-05
P39927,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.234786825,0.008613107
P48240,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.322809842,0.016923352
P27476,18,12,16,17,12,16,14,12,13,FALSE,TRUE,0.029287071,0.000603751
P39935,24,12,17,24,8,10,20,12,15,FALSE,TRUE,0.200705769,0.000226097
P17891,12,1,1,12,1,1,9,1,1,TRUE,FALSE,0.425297255,0.0002801
P53295,6,1,1,6,1,1,6,1,1,TRUE,FALSE,0.302097834,0.000306039
P32476,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.075321616,0.000382104
P53296,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.203000845,0.002044923
P53297,3,2,2,3,2,2,3,2,2,FALSE,TRUE,0.135300947,6.18E-06
P49723,52,1,0,52,2,1,42,1,0,TRUE,FALSE,0.361492913,0.000224145
P53299,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.5113982,0.000247388
P19812,3,2,2,3,2,2,3,2,2,FALSE,TRUE,0.215924542,1.72E-06
P36421,57,1,0,57,1,0,48,1,0,TRUE,FALSE,0.561329148,0.000379193
P41895,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0.316610923,8.77E-05
P48362,9,0,0,9,0,0,9,0,0,TRUE,FALSE,0.34254394,5.72E-05
P00359,271,38,9,252,37,10,162,33,18,FALSE,TRUE,0.542708662,0.001231031
P16451,6,2,3,6,2,3,6,2,3,FALSE,TRUE,0.25947167,0.000201183
P42935,9,0,0,9,0,0,9,0,0,TRUE,FALSE,0.355775912,3.52E-05
P07245,50,0,0,50,0,0,45,0,0,TRUE,FALSE,0.420727179,7.06E-05
P42938,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.422339419,0.006951148
P42940,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.45954562,0.000290023
P42941,4,0,1,4,1,3,4,0,1,FALSE,TRUE,0.421458335,0.000177877
P22803,24,3,3,21,3,3,15,2,2,FALSE,TRUE,0.544691039,0.016887879
P42942,8,1,2,8,1,2,8,1,2,FALSE,TRUE,0.277318663,3.45E-06
P53303,18,0,0,18,0,0,17,0,0,TRUE,FALSE,0.454206402,6.79E-06
P32905,3,0,0,3,0,0,2,0,0,TRUE,FALSE,0.193226105,0.005058959
P30822,20,2,1,20,2,1,20,2,1,TRUE,FALSE,0.381234175,0.006501724
P32566,3,2,2,3,2,2,3,2,2,FALSE,TRUE,0.229200237,2.15E-06
P50086,5,0,0,5,0,0,5,0,0,TRUE,FALSE,0.498070663,0.002204139
P17442,6,0,0,6,0,0,6,0,0,TRUE,FALSE,0.261731017,1.30E-05
P39676,52,5,2,49,5,2,41,5,2,FALSE,TRUE,0.462477064,0.001480886
P50089,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.194982936,2.09E-05
P16861,117,3,0,117,1,0,99,1,0,TRUE,FALSE,0.420553482,0.001755054
P53312,5,0,0,5,0,0,5,0,0,TRUE,FALSE,0.480921429,0.000466518
P53313,5,2,3,5,2,3,5,2,3,FALSE,TRUE,0.150877938,0.000638784
P32379,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.386739204,6.34E-05
P00924,33,3,3,32,3,3,30,3,3,FALSE,TRUE,0.472573749,0.001755735
P53323,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.372052037,0.010586552
P00958,46,1,1,46,1,1,40,1,1,TRUE,FALSE,0.392788981,0.000328917
P51601,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.251037809,2.03E-06
P53327,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.116890808,0.000324952
P53331,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.265820554,1.77E-06
P53332,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.485561109,0.002315616
P53334,7,0,1,7,0,1,7,0,1,TRUE,FALSE,0.532356107,0.000724094
P53335,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.066382994,0.002871316
P15703,7,0,0,7,0,0,7,0,0,TRUE,FALSE,0.407378097,0.004093578
P53337,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.107597366,0.007792663
P32527,45,3,1,45,3,1,37,2,1,TRUE,FALSE,0.300824727,0.000122066
P87108,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.27105923,0.00020436
O13535,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.094490157,0.000818452
P38624,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.390234658,0.000235191
P47079,31,2,2,31,2,2,29,2,2,FALSE,TRUE,0.354012566,0.000515419
P47077,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.157495159,0.002921849
P47076,2,0,1,2,0,1,2,0,1,TRUE,FALSE,0.231967777,0.000911405
P47075,12,9,11,12,9,11,12,9,11,FALSE,TRUE,0.035151226,0.000140652
P39077,30,1,0,30,4,0,29,1,0,TRUE,FALSE,0.321482256,1.78E-05
P47068,13,0,0,13,1,1,13,0,0,TRUE,FALSE,0.360911463,1.53E-05
P09938,43,2,0,42,2,0,35,2,0,TRUE,FALSE,0.358576491,0.001445982
P47061,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.189897539,1.12E-05
P40958,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.395067031,0.001993889
P20448,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.193672099,2.37E-08
P16474,32,1,0,32,2,0,29,1,0,TRUE,FALSE,0.388038935,0.000188176
P14907,5,2,3,5,2,3,5,2,3,FALSE,TRUE,0.246759263,0.000552707
P47047,17,2,1,17,3,2,17,2,1,FALSE,TRUE,0.300712359,7.88E-05
P00360,32,4,4,32,4,4,30,4,4,FALSE,TRUE,0.614222404,0.001306202
P47044,4,1,1,4,1,1,4,1,1,TRUE,FALSE,0.57453282,0.008957072
P47039,6,0,0,6,0,0,6,0,0,TRUE,FALSE,0.36051529,0.000191258
P40363,8,1,1,8,1,1,7,1,1,TRUE,FALSE,0.268374155,0.000699523
P40362,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.118653377,0.000102639
P47035,1,0,1,1,0,1,1,0,1,FALSE,FALSE,0.091586705,0.000196794
P06105,80,41,53,80,37,48,75,40,50,FALSE,TRUE,0.18582129,0.000426927
P47031,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.214328066,7.67E-05
P09880,3,1,1,3,1,1,3,1,1,TRUE,FALSE,0.290327212,2.37E-05
P40856,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.25657565,0.007288837
P32477,12,1,2,12,1,2,12,1,2,FALSE,TRUE,0.405664853,1.55E-05
P42945,16,9,11,16,9,11,16,9,11,FALSE,TRUE,0.113756868,0.000115239
P42943,23,1,0,23,1,0,23,1,0,TRUE,FALSE,0.330128917,0.000440373
P32447,3,1,1,3,1,1,3,1,1,TRUE,FALSE,0.427825608,2.47E-05
P46969,18,1,1,18,1,1,15,1,1,TRUE,FALSE,0.690871114,0.027270324
P47018,6,0,0,6,0,0,6,0,0,TRUE,FALSE,0.396754789,0.000321252
P47017,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.207332491,0.000159857
P46959,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.280932251,0.000425569
P07259,194,4,0,194,5,0,180,5,0,TRUE,FALSE,0.385967604,5.57E-05
Q3E754,11,1,1,11,2,2,9,1,1,FALSE,TRUE,0.230854643,0.023460619
P10081,72,2,0,67,4,0,58,2,0,TRUE,FALSE,0.454480056,0.000661252
P20433,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.324555165,6.29E-05
P47008,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.392290892,0.001048002
P47006,3,3,3,3,3,3,3,3,3,FALSE,TRUE,0.135276719,0.004839154
P34110,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.250585834,2.64E-05
P47001,2,1,1,2,1,1,2,1,1,TRUE,FALSE,0.307890438,0.001568792
P06244,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.334558545,0.001153178
P38970,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.159318331,0.001376065
P08524,31,0,0,31,0,0,25,0,0,TRUE,FALSE,0.412029362,7.55E-05
P46995,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.182404114,0.001580114
P27614,10,0,0,10,1,1,10,0,0,TRUE,FALSE,0.286424755,0.000846313
P26755,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.260811904,0.000900992
P39005,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.514560766,0.170328113
P32591,2,0,1,2,0,1,2,0,1,TRUE,FALSE,0.216734624,0.000882468
P46990,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.183818927,0.000334961
P46988,3,1,1,3,1,1,3,1,1,TRUE,FALSE,0.554040733,2.64E-05
P46985,2,2,2,2,2,2,2,2,2,FALSE,TRUE,0.069235978,0.000477773
P46984,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.488926255,0.00901711
P46982,4,3,3,4,3,3,4,3,3,FALSE,TRUE,0.096167634,0.004557238
P04650,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.274451221,0.010246066
P0C0W1,23,2,0,23,0,0,19,2,0,TRUE,FALSE,0.207053388,0.000210632
P39538,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.343858146,8.31E-05
P39533,5,0,0,5,0,0,5,0,0,TRUE,FALSE,0.358120686,0.001023345
P32525,2,2,2,2,2,2,2,2,2,FALSE,TRUE,0.145872369,5.88E-05
P39526,4,0,1,4,0,1,4,0,1,TRUE,FALSE,0.27704309,1.76E-05
P40893,9,0,0,9,0,0,9,0,0,TRUE,FALSE,0.501016778,0.000363847
P40892,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.558721309,0.000768344
P47083,3,3,3,3,3,3,3,3,3,FALSE,TRUE,0.119126337,0.001474253
P20840,7,1,1,7,1,1,7,1,1,TRUE,FALSE,0.536413964,0.00504213
P46957,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.28822149,4.21E-05
P20459,18,0,0,18,0,0,13,0,0,TRUE,FALSE,0.315666589,1.39E-05
P00358,47,9,0,47,9,0,34,8,0,TRUE,FALSE,0.496386998,0.000225011
P08536,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.257757413,0.010668761
P47089,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.324451433,1.21E-05
P39522,43,2,0,43,2,0,36,1,0,TRUE,FALSE,0.376108773,0.000478071
P22696,6,0,0,6,0,0,6,0,0,TRUE,FALSE,0.396775741,8.90E-05
P47095,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.310462582,0.00980675
P47096,5,0,0,5,0,0,5,0,0,TRUE,FALSE,0.415477085,0.000147009
P47103,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.529096443,0.000591714
P47108,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.141853135,0.001324109
P0CS90,58,2,0,57,2,0,53,3,0,TRUE,FALSE,0.476016211,0.000218462
P19211,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.323136752,7.63E-05
P00572,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.387007681,2.80E-05
P47116,2,0,0,2,0,0,2,0,0,TRUE,FALSE,0.24049348,0.000505463
P17106,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.369248092,0.000266358
P40413,25,1,1,24,3,3,24,1,1,FALSE,TRUE,0.400418163,6.66E-05
P47117,12,0,0,12,0,0,10,0,0,TRUE,FALSE,0.363008743,0.000554874
P40348,1,1,1,1,1,1,1,1,1,FALSE,FALSE,0.175928815,6.38E-06
P47119,10,2,2,10,4,4,10,2,2,FALSE,TRUE,0.510619805,0.000439845
P47120,27,1,0,27,2,0,23,1,0,TRUE,FALSE,0.395595486,0.000126389
P47122,4,0,0,4,0,0,4,0,0,TRUE,FALSE,0.34759335,2.19E-05
P47124,2,2,2,2,2,2,2,2,2,FALSE,TRUE,0.099895127,0.003328384
P32458,7,0,0,7,0,0,7,0,0,TRUE,FALSE,0.288751796,8.14E-07
P47137,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.460945893,0.000450747
P35127,1,0,0,1,0,0,1,0,0,FALSE,FALSE,0.357210247,0.000642566
P38627,3,0,0,3,0,0,3,0,0,TRUE,FALSE,0.439259319,3.36E-05
P00445,35,7,10,34,7,10,29,7,9,FALSE,TRUE,0.944382356,0.561245913
P47143,46,13,17,45,14,17,40,12,14,FALSE,TRUE,0.652768567,0.003547021
P03965,23,0,0,23,0,0,23,0,0,TRUE,FALSE,0.356554026,0.00028707
